Age,Education Level,Years of Experience,Role,Department,Location,Salary
30,Master,7,Manager,Customer Support,San Francisco,143003.52
29,Master,3,Product Manager,Operations,Seattle,105964.92
39,Associate,7,Manager,Product,San Francisco,112539.47
43,PhD,20,Product Manager,IT,San Francisco,244825.14
45,Bachelor,18,Software Engineer,Product,Seattle,141023.76
24,Master,1,Data Analyst,Finance,San Francisco,87556.0
48,High School,12,System Administrator,IT,San Francisco,101671.13
49,Bachelor,22,Data Analyst,Finance,Boston,141118.32
35,Master,2,QA Engineer,Finance,Los Angeles,88482.59
28,PhD,4,Manager,Product,Seattle,133231.85
51,PhD,2,Business Analyst,IT,San Francisco,128574.97
48,Associate,13,Software Engineer,Finance,Boston,111236.54
34,High School,8,Product Manager,Finance,Los Angeles,90161.05
24,Associate,2,System Administrator,Marketing,Seattle,46944.34
32,Bachelor,2,System Administrator,Product,Boston,75180.54
38,Associate,1,Software Engineer,Operations,New York,61756.6
27,Master,0,Business Analyst,Operations,San Francisco,98142.12
45,PhD,0,System Administrator,Customer Support,Boston,101948.24
33,Associate,7,System Administrator,HR,Los Angeles,83201.96
25,Bachelor,0,QA Engineer,Marketing,San Francisco,65458.24
48,Bachelor,6,System Administrator,Operations,Austin,74137.35
34,Associate,12,Manager,HR,New York,120014.66
55,Master,8,Business Analyst,IT,Chicago,109507.88
40,Associate,0,Product Manager,Finance,Boston,74762.4
22,Master,0,Software Engineer,Product,San Francisco,92194.31
29,High School,3,QA Engineer,Finance,Austin,45493.43
54,PhD,8,Data Analyst,Product,New York,149499.35
57,PhD,23,Manager,IT,Seattle,215067.1
48,Master,18,Manager,Marketing,San Francisco,184374.38
48,High School,14,QA Engineer,Marketing,New York,96329.2
25,Master,2,Product Manager,Finance,New York,112936.6
46,Associate,22,Software Engineer,Finance,San Francisco,152655.81
43,PhD,6,Business Analyst,Product,New York,133891.18
25,Bachelor,1,Manager,Operations,Austin,71368.78
43,High School,3,QA Engineer,Marketing,Austin,57571.05
49,High School,24,Product Manager,Marketing,Seattle,146357.73
49,Master,10,Manager,Marketing,New York,156265.62
40,High School,4,QA Engineer,Product,Boston,62906.75
58,PhD,25,Software Engineer,IT,Boston,205841.87
45,High School,2,Data Analyst,Product,Los Angeles,73452.17
55,High School,14,QA Engineer,IT,New York,104741.58
47,Master,13,Product Manager,Customer Support,Boston,153352.51
25,PhD,3,Data Analyst,IT,Boston,113032.98
35,Master,4,Product Manager,Finance,Seattle,114641.65
57,PhD,26,Data Scientist,Product,Seattle,221992.7
47,PhD,13,Consultant,Customer Support,Boston,157824.31
46,Associate,3,Manager,HR,Seattle,91115.98
49,Master,27,Data Analyst,Finance,Los Angeles,172504.08
37,Bachelor,4,Manager,Finance,Chicago,85400.16
34,Master,6,Business Analyst,Product,Chicago,91234.4
24,PhD,1,Data Analyst,Finance,Boston,106523.35
56,Master,17,System Administrator,Finance,Los Angeles,136633.58
23,PhD,1,Data Scientist,IT,Chicago,111975.23
46,PhD,6,Data Analyst,HR,San Francisco,146641.92
38,High School,7,Consultant,HR,Seattle,75460.75
39,Associate,14,QA Engineer,Marketing,New York,97043.25
23,Bachelor,0,QA Engineer,Customer Support,Seattle,58444.69
39,Associate,4,Business Analyst,Marketing,Chicago,64978.2
53,Associate,27,Product Manager,Customer Support,Seattle,176972.89
53,Master,2,Data Scientist,Customer Support,Seattle,109514.94
25,Master,2,Manager,Finance,Austin,86719.59
43,PhD,17,Business Analyst,Finance,Los Angeles,167850.46
39,PhD,4,Manager,IT,New York,151228.53
53,Bachelor,1,Data Analyst,Customer Support,Seattle,74282.64
40,PhD,14,Data Scientist,Customer Support,Chicago,162053.0
27,Associate,5,Manager,Product,Seattle,82641.34
53,High School,17,Data Analyst,IT,Austin,81308.46
53,High School,6,Data Scientist,Customer Support,Austin,76701.91
59,Associate,36,System Administrator,Operations,San Francisco,174568.61
36,Associate,13,Data Analyst,Finance,New York,103655.32
41,High School,9,Manager,Finance,Austin,87538.02
28,Master,4,Consultant,Operations,Seattle,91220.65
32,High School,1,Data Scientist,Operations,San Francisco,71345.68
50,Associate,5,Consultant,IT,San Francisco,90567.04
57,PhD,17,Manager,Finance,New York,210333.39
26,High School,4,Consultant,Customer Support,Chicago,61047.81
31,Bachelor,5,Business Analyst,Finance,Austin,67970.18
31,PhD,6,QA Engineer,Finance,Los Angeles,121663.0
33,High School,3,System Administrator,Finance,Austin,54401.8
60,Bachelor,36,Manager,Finance,New York,232352.03
38,Master,8,Data Scientist,IT,Seattle,115523.4
39,PhD,6,Business Analyst,Finance,New York,137739.58
55,PhD,15,Product Manager,Product,Boston,197069.88
30,High School,4,Business Analyst,HR,Chicago,61382.62
24,Master,1,Data Scientist,Operations,San Francisco,108417.35
35,PhD,2,QA Engineer,Operations,San Francisco,121467.01
55,PhD,13,Data Analyst,Product,Chicago,134990.69
34,PhD,3,System Administrator,Customer Support,Boston,112220.26
49,High School,1,Consultant,Finance,Seattle,64392.99
53,PhD,5,Software Engineer,HR,Boston,145677.69
32,High School,8,Consultant,IT,Chicago,66659.87
39,Master,1,Software Engineer,IT,New York,93901.94
33,Master,1,Data Analyst,Finance,Seattle,77215.04
56,Bachelor,14,System Administrator,Customer Support,Seattle,106618.98
54,High School,9,Software Engineer,HR,Boston,102231.15
54,High School,19,Consultant,Operations,Boston,122687.55
59,Bachelor,0,Manager,Finance,Chicago,87463.76
31,PhD,3,Software Engineer,HR,Chicago,104630.06
42,Master,5,Software Engineer,Customer Support,San Francisco,122630.43
31,Master,5,Consultant,Product,San Francisco,111591.73
46,Master,5,Data Analyst,HR,San Francisco,114290.75
39,Associate,14,Business Analyst,Operations,Seattle,103339.92
54,Master,28,Business Analyst,Customer Support,San Francisco,203390.3
33,Associate,0,QA Engineer,HR,Boston,49152.63
24,Master,1,Data Scientist,Customer Support,Los Angeles,100291.48
55,PhD,20,Manager,Customer Support,Chicago,185192.67
32,High School,1,Software Engineer,Operations,New York,59634.04
43,High School,5,Product Manager,Finance,Seattle,91084.39
36,Bachelor,6,Data Scientist,HR,Austin,88521.75
56,PhD,26,QA Engineer,Operations,New York,188353.35
42,Associate,4,Product Manager,Product,New York,92817.56
46,PhD,23,Business Analyst,Customer Support,Los Angeles,191746.33
35,PhD,5,Manager,Operations,New York,159998.44
30,PhD,7,Data Scientist,IT,New York,156706.71
37,Associate,8,Business Analyst,IT,Seattle,76616.52
58,PhD,28,Software Engineer,Operations,San Francisco,243225.52
32,Associate,2,QA Engineer,Operations,Seattle,66172.25
52,Master,2,System Administrator,IT,New York,107822.68
34,Bachelor,8,Business Analyst,HR,New York,106115.56
31,PhD,0,Consultant,HR,New York,124546.25
44,PhD,20,Data Analyst,Customer Support,Los Angeles,169494.66
56,High School,34,Data Analyst,HR,Seattle,155667.08
55,High School,18,Software Engineer,Customer Support,Chicago,115729.51
56,High School,29,Business Analyst,Operations,Seattle,140179.6
34,Master,10,Consultant,IT,Chicago,110464.63
44,PhD,1,Business Analyst,Product,Chicago,104770.26
34,High School,0,Data Analyst,Operations,San Francisco,66561.4
22,High School,0,Data Scientist,Product,Los Angeles,61362.9
26,Associate,0,Business Analyst,Customer Support,Los Angeles,64289.24
40,Bachelor,3,Data Analyst,Finance,Austin,74187.14
41,High School,8,Consultant,HR,Los Angeles,96343.66
59,High School,30,Consultant,Finance,Boston,159312.45
32,Bachelor,10,System Administrator,Operations,Boston,87174.46
42,High School,6,Consultant,Customer Support,Los Angeles,84057.79
30,Master,2,Business Analyst,HR,Chicago,84953.41
40,Master,14,Consultant,Operations,Boston,142187.11
36,High School,4,QA Engineer,HR,Boston,63950.18
59,Associate,30,QA Engineer,Customer Support,Austin,123547.7
39,PhD,8,Business Analyst,Finance,San Francisco,153354.93
51,Bachelor,19,Consultant,Product,New York,139185.63
50,PhD,12,Software Engineer,Finance,Seattle,160626.72
51,PhD,19,System Administrator,Customer Support,Seattle,157802.19
58,High School,18,System Administrator,Finance,San Francisco,114472.23
31,Bachelor,0,Consultant,IT,Seattle,67595.24
33,Master,6,Business Analyst,Marketing,New York,109307.69
53,Associate,10,Data Scientist,Marketing,San Francisco,122422.26
33,High School,4,Business Analyst,IT,Seattle,63471.36
51,Associate,12,Manager,Finance,Los Angeles,128289.97
28,PhD,5,Product Manager,Operations,Austin,121550.72
55,Bachelor,33,Product Manager,Finance,Austin,184887.16
43,Associate,3,Software Engineer,Product,Seattle,79046.54
42,Associate,1,Manager,Product,San Francisco,81085.32
29,Bachelor,7,Consultant,Finance,Boston,103815.04
46,Master,20,Data Scientist,Operations,Seattle,178835.19
25,Associate,3,Manager,HR,Los Angeles,89498.95
47,Master,3,Manager,HR,Boston,120779.13
28,PhD,3,Data Analyst,HR,Los Angeles,102540.72
53,Associate,15,Software Engineer,IT,Chicago,106317.27
35,High School,7,Consultant,Operations,Boston,76410.49
41,PhD,6,Manager,Customer Support,Boston,155688.07
53,Associate,6,Consultant,Product,Seattle,87628.14
43,Bachelor,19,Manager,IT,Seattle,153435.82
35,Master,3,Manager,Operations,Chicago,93287.88
28,PhD,3,System Administrator,Marketing,Seattle,103502.0
56,PhD,32,Data Scientist,Customer Support,Seattle,241363.49
52,PhD,16,Data Scientist,HR,Austin,164524.27
58,Bachelor,17,QA Engineer,Operations,Los Angeles,128023.92
24,Bachelor,2,Manager,Marketing,Seattle,78352.52
48,Bachelor,2,Consultant,Operations,San Francisco,85270.27
59,PhD,15,Business Analyst,IT,New York,171278.49
40,High School,7,Data Analyst,Customer Support,Chicago,67015.26
29,Bachelor,5,Business Analyst,Operations,Austin,61243.45
36,PhD,11,QA Engineer,Product,San Francisco,149526.79
58,Associate,17,Software Engineer,IT,New York,139492.17
52,Associate,30,Data Analyst,Operations,Austin,128827.46
40,High School,16,System Administrator,Marketing,Austin,79293.42
41,Bachelor,1,Software Engineer,Customer Support,New York,86926.47
23,Master,0,Data Analyst,Marketing,Boston,78110.58
39,Master,4,Data Scientist,Finance,Los Angeles,114077.04
54,Associate,16,Business Analyst,Marketing,Seattle,114678.27
47,Bachelor,19,Business Analyst,HR,Seattle,127609.62
31,Associate,4,Manager,Customer Support,New York,90934.65
39,Master,10,Manager,Operations,Seattle,140876.65
57,PhD,16,System Administrator,Operations,Chicago,136414.66
24,Bachelor,0,QA Engineer,Customer Support,Seattle,51569.47
40,Master,18,Consultant,HR,Austin,112688.15
44,High School,3,Software Engineer,Finance,Chicago,64844.11
40,High School,18,Data Analyst,IT,Austin,91447.65
35,Associate,12,Manager,Customer Support,Boston,114574.15
39,High School,17,Data Analyst,IT,Austin,88053.68
24,Bachelor,1,Consultant,Product,Seattle,61774.54
42,Master,0,Data Scientist,HR,New York,107870.61
51,Associate,28,Data Analyst,IT,San Francisco,158671.99
48,Master,4,System Administrator,HR,Boston,106471.51
27,Associate,4,System Administrator,Marketing,Boston,68631.28
42,Bachelor,10,Product Manager,Operations,Chicago,114576.6
37,High School,15,QA Engineer,Product,Seattle,86829.85
38,Associate,11,Software Engineer,Marketing,Chicago,86421.46
40,High School,1,Data Analyst,Marketing,Chicago,56819.84
54,Master,3,Data Analyst,Customer Support,Seattle,108069.86
23,Bachelor,1,Software Engineer,HR,San Francisco,82110.47
51,Associate,20,Business Analyst,Finance,Austin,103090.52
29,PhD,5,Consultant,IT,Austin,111030.58
36,Associate,5,System Administrator,Product,Austin,66597.26
48,PhD,25,Business Analyst,Product,New York,196840.55
39,High School,13,Data Scientist,Product,New York,108821.34
57,High School,8,Manager,Customer Support,Boston,94425.44
40,PhD,0,Data Analyst,Finance,Austin,88995.38
30,Bachelor,5,Data Scientist,IT,New York,98535.05
48,Bachelor,12,Business Analyst,Finance,San Francisco,130770.01
45,Bachelor,23,Consultant,IT,Los Angeles,149228.6
22,PhD,0,Business Analyst,Customer Support,Los Angeles,111814.65
41,High School,1,Consultant,Customer Support,Seattle,63743.2
56,Associate,33,Data Scientist,Customer Support,Chicago,162100.25
37,Bachelor,2,Business Analyst,Customer Support,San Francisco,86620.96
55,PhD,8,Data Analyst,Finance,Seattle,133287.58
45,PhD,12,Data Analyst,Finance,Austin,109041.66
42,Master,5,System Administrator,Marketing,Seattle,86999.91
32,Master,9,Product Manager,Marketing,New York,141417.2
59,Bachelor,7,Product Manager,Finance,Austin,100693.14
39,Associate,2,Business Analyst,Finance,Seattle,70024.94
49,High School,14,Data Scientist,HR,San Francisco,126720.18
55,PhD,14,Consultant,Marketing,Seattle,158034.27
43,PhD,10,System Administrator,Finance,San Francisco,145056.92
34,High School,2,Data Scientist,Product,Seattle,62163.16
29,PhD,3,Product Manager,HR,Chicago,133522.68
36,PhD,3,Software Engineer,IT,Boston,123720.45
45,High School,1,Software Engineer,HR,Boston,56645.79
58,Bachelor,15,Business Analyst,Customer Support,Seattle,117246.41
60,Bachelor,12,Manager,Product,San Francisco,153792.61
56,Associate,14,QA Engineer,Marketing,Austin,88005.33
51,Associate,2,System Administrator,Customer Support,Seattle,78506.09
59,Bachelor,12,QA Engineer,Product,Los Angeles,115680.89
51,Master,21,Manager,Product,New York,203957.75
43,High School,6,Consultant,HR,Chicago,61890.18
22,High School,0,Product Manager,Operations,New York,62629.04
59,Associate,12,Business Analyst,Operations,Los Angeles,107072.0
30,Associate,6,Product Manager,Finance,Los Angeles,92515.41
47,PhD,1,Business Analyst,IT,San Francisco,127155.41
28,Associate,0,System Administrator,Finance,Chicago,50030.14
34,Bachelor,3,QA Engineer,Marketing,Seattle,71273.25
28,High School,0,QA Engineer,HR,Chicago,50614.18
44,High School,20,Product Manager,Customer Support,Austin,121703.69
49,High School,19,Business Analyst,Marketing,Austin,99981.77
25,High School,1,Software Engineer,Finance,New York,56978.84
43,Associate,18,Data Scientist,Marketing,Chicago,118674.36
23,Bachelor,0,Manager,Product,Los Angeles,86361.88
57,PhD,34,Manager,HR,Austin,218032.53
28,Bachelor,6,Data Analyst,Customer Support,Seattle,76415.0
58,Bachelor,28,Consultant,Operations,Chicago,158681.07
38,Associate,1,Data Scientist,Finance,Chicago,73263.33
52,PhD,17,Data Scientist,Marketing,Seattle,191653.87
39,Master,11,Consultant,IT,Seattle,117410.9
43,Bachelor,18,QA Engineer,Product,Boston,116867.61
60,Associate,33,Data Scientist,Finance,New York,199908.18
25,Associate,3,System Administrator,Marketing,Austin,46112.24
42,High School,18,Consultant,Marketing,San Francisco,129708.49
27,PhD,2,Consultant,Marketing,Chicago,111381.23
51,Associate,27,Business Analyst,Product,San Francisco,165995.01
26,PhD,4,Business Analyst,Product,Boston,110930.67
54,High School,26,Product Manager,Product,Boston,167549.84
25,Bachelor,0,Product Manager,Operations,Chicago,70748.81
37,Bachelor,13,Data Scientist,IT,San Francisco,142137.48
39,PhD,5,QA Engineer,Marketing,Austin,91694.35
52,High School,20,Consultant,HR,Austin,111143.88
36,PhD,4,QA Engineer,HR,New York,121051.86
56,Associate,3,Consultant,Customer Support,Boston,78896.27
58,Associate,20,Consultant,IT,Boston,129100.88
26,Master,1,QA Engineer,Product,Boston,78663.07
48,Bachelor,14,Data Analyst,HR,Austin,99685.79
46,High School,13,Manager,Product,Boston,109203.33
23,Bachelor,0,Business Analyst,Product,Austin,54462.34
38,Bachelor,13,Product Manager,HR,New York,139174.89
57,Bachelor,23,Business Analyst,Product,Seattle,144115.32
57,Master,20,Product Manager,Marketing,San Francisco,209000.3
27,High School,5,Manager,Finance,Seattle,72601.36
33,Associate,5,Manager,IT,New York,97010.36
51,Bachelor,27,QA Engineer,IT,Boston,139742.13
34,Bachelor,11,Consultant,Marketing,Los Angeles,105680.06
49,Master,16,System Administrator,HR,Austin,100172.49
28,Bachelor,0,Product Manager,IT,New York,95531.58
24,Master,0,Software Engineer,HR,Austin,68536.58
60,Master,0,Manager,Operations,Austin,102677.54
23,Master,1,Consultant,HR,Los Angeles,85648.63
58,Bachelor,18,Business Analyst,Customer Support,Chicago,111259.49
48,High School,24,Consultant,IT,Boston,129804.92
59,PhD,3,Manager,HR,New York,164943.3
53,PhD,17,Software Engineer,Marketing,Boston,181877.92
51,PhD,2,Business Analyst,Operations,Chicago,119416.87
25,Bachelor,3,System Administrator,IT,Boston,71560.77
33,High School,3,Business Analyst,Product,San Francisco,63945.08
47,PhD,12,QA Engineer,Marketing,Austin,108036.83
30,Bachelor,2,Business Analyst,IT,Chicago,78159.81
44,Master,6,QA Engineer,Product,Seattle,109227.27
53,Associate,23,System Administrator,Operations,Austin,106374.4
47,Master,5,Software Engineer,Customer Support,San Francisco,128814.52
30,PhD,8,System Administrator,Operations,Seattle,119189.38
23,Bachelor,1,Manager,HR,New York,91611.41
24,Master,0,QA Engineer,Finance,Chicago,71516.01
58,Master,22,Product Manager,Marketing,New York,198665.48
22,Associate,0,System Administrator,Customer Support,Austin,46756.0
39,PhD,4,System Administrator,IT,Los Angeles,115542.75
48,Associate,20,Business Analyst,IT,Austin,102013.5
30,High School,0,Business Analyst,Product,Chicago,48779.89
44,Bachelor,13,Consultant,Marketing,San Francisco,128687.11
42,Associate,14,Data Analyst,Product,Boston,109387.89
43,PhD,12,Data Analyst,HR,Austin,120728.69
24,High School,1,Data Scientist,Product,New York,75922.35
39,High School,9,Data Scientist,Finance,Boston,102553.67
29,High School,6,QA Engineer,Finance,Austin,53331.66
58,Associate,20,QA Engineer,Marketing,Los Angeles,125080.99
58,Master,26,QA Engineer,Product,Los Angeles,161021.93
44,Bachelor,16,Data Scientist,IT,New York,135984.5
43,Master,12,Business Analyst,Finance,Boston,124878.93
56,PhD,4,Product Manager,Marketing,Los Angeles,163055.75
54,Associate,7,Business Analyst,Operations,Chicago,87729.89
34,Associate,7,Software Engineer,IT,Chicago,70485.33
56,High School,1,Data Scientist,Finance,San Francisco,86108.08
32,PhD,9,Data Analyst,Product,Los Angeles,133100.52
41,Associate,17,Data Scientist,Marketing,Seattle,131853.24
42,High School,0,Business Analyst,Product,New York,62591.26
53,High School,5,Manager,Product,Boston,87536.74
60,Master,23,Manager,Finance,Los Angeles,199516.52
56,Bachelor,6,Consultant,HR,San Francisco,113803.24
35,PhD,13,System Administrator,Customer Support,Austin,102036.47
27,Bachelor,1,Product Manager,HR,San Francisco,93034.05
34,High School,0,QA Engineer,Marketing,Chicago,42669.44
43,PhD,8,Software Engineer,Operations,Boston,143468.85
39,Associate,16,System Administrator,Operations,San Francisco,114703.11
43,PhD,21,Manager,Finance,Boston,213158.75
36,High School,6,Product Manager,Product,Austin,72772.35
29,PhD,4,Business Analyst,IT,Boston,110834.1
59,High School,8,Business Analyst,HR,Austin,82424.78
40,High School,17,QA Engineer,Operations,Seattle,87690.69
25,Bachelor,0,QA Engineer,HR,Austin,53712.41
39,Master,11,Data Analyst,Operations,Chicago,110477.3
31,Bachelor,5,Data Analyst,HR,New York,80656.59
24,Master,0,Consultant,Finance,Los Angeles,81087.36
50,Associate,24,Software Engineer,Marketing,Boston,150432.52
29,Associate,1,Data Scientist,Finance,New York,74763.19
37,Associate,5,Software Engineer,Finance,Chicago,82730.31
27,Master,3,Product Manager,Marketing,Chicago,101326.25
27,PhD,5,Software Engineer,Marketing,Austin,112778.16
52,Associate,6,Business Analyst,Customer Support,Austin,74572.66
32,PhD,6,Consultant,Product,Boston,126534.62
56,PhD,31,Data Scientist,Finance,Chicago,212063.28
59,Associate,32,Consultant,Finance,Austin,141616.33
60,Master,29,Software Engineer,Marketing,New York,204033.16
47,High School,22,Business Analyst,IT,Boston,117956.92
51,PhD,0,Business Analyst,Customer Support,Chicago,110957.35
59,High School,1,System Administrator,HR,New York,62092.02
37,PhD,10,Data Analyst,Operations,San Francisco,158646.46
41,High School,7,Data Scientist,HR,Chicago,74765.55
58,High School,5,Data Scientist,Finance,Los Angeles,77118.92
60,Bachelor,14,Consultant,Product,Chicago,119119.04
36,Bachelor,3,Consultant,IT,Boston,79887.9
48,PhD,23,Data Analyst,Customer Support,Chicago,160551.39
47,High School,11,System Administrator,Marketing,Boston,88763.95
23,Master,0,Product Manager,Operations,Boston,98305.67
56,PhD,29,Data Analyst,HR,Austin,163391.03
41,Bachelor,12,Data Scientist,Finance,Los Angeles,136612.68
36,High School,11,System Administrator,IT,New York,81270.6
36,PhD,3,QA Engineer,Marketing,Austin,93050.69
55,Bachelor,30,System Administrator,Product,New York,158393.19
24,Associate,1,Product Manager,Finance,Boston,74242.9
29,High School,6,Business Analyst,Marketing,San Francisco,72412.78
25,Bachelor,3,Data Analyst,HR,New York,83861.22
22,Associate,0,Data Analyst,Customer Support,Chicago,45995.42
25,High School,0,Business Analyst,Customer Support,Los Angeles,61731.63
42,Master,6,Business Analyst,Operations,Austin,86483.91
40,Associate,4,System Administrator,HR,Austin,66540.6
35,Associate,9,Product Manager,Finance,San Francisco,126717.05
25,Associate,1,Consultant,Product,Seattle,55478.47
59,PhD,27,System Administrator,Operations,San Francisco,206529.17
42,Master,15,Data Analyst,Customer Support,Seattle,124797.44
58,Bachelor,17,Data Scientist,Product,Los Angeles,157568.2
60,Bachelor,17,System Administrator,Product,New York,128186.04
45,Master,21,Product Manager,Product,Chicago,166219.17
51,Master,22,Software Engineer,Finance,Chicago,159509.2
53,High School,11,Manager,Customer Support,New York,113772.6
52,Master,9,Manager,Marketing,Seattle,142557.13
38,Associate,6,Consultant,IT,New York,77683.92
56,High School,2,Consultant,Finance,Chicago,59894.74
47,Master,11,Data Analyst,Customer Support,Seattle,102669.3
38,Master,3,System Administrator,Marketing,Chicago,81740.13
60,PhD,1,Product Manager,Operations,New York,155596.64
22,PhD,0,System Administrator,IT,New York,99984.39
58,Bachelor,2,Manager,Finance,New York,99216.78
57,Master,3,Consultant,HR,Seattle,108184.56
39,High School,4,Manager,Product,San Francisco,95227.86
52,PhD,12,Data Analyst,HR,Chicago,132011.32
53,High School,5,Data Analyst,Operations,San Francisco,87512.57
57,PhD,21,Manager,Product,New York,228267.52
37,Associate,11,Data Scientist,Product,Austin,94900.78
54,High School,15,Data Scientist,Finance,Chicago,103332.7
38,Associate,11,Manager,Marketing,New York,118945.85
49,High School,10,Business Analyst,Operations,Seattle,92027.01
35,Bachelor,12,QA Engineer,Customer Support,San Francisco,110896.14
53,Master,10,Consultant,Marketing,San Francisco,147938.57
41,Master,16,Data Analyst,IT,Seattle,124462.97
24,PhD,2,Data Analyst,Operations,Chicago,93765.86
59,High School,22,Consultant,IT,Seattle,124795.07
38,PhD,2,QA Engineer,Finance,Boston,108059.07
44,Bachelor,1,System Administrator,Customer Support,Chicago,65699.22
53,Bachelor,13,Business Analyst,HR,San Francisco,122110.79
48,Master,5,Software Engineer,IT,Chicago,103085.23
29,Bachelor,0,Consultant,Operations,Chicago,55379.9
30,Master,5,Consultant,Operations,San Francisco,112138.02
24,Associate,1,System Administrator,Product,Seattle,48877.25
52,High School,25,Manager,Product,San Francisco,176848.84
39,Associate,0,Product Manager,Marketing,Chicago,63395.21
29,High School,7,Manager,Finance,New York,92028.0
24,High School,1,System Administrator,HR,Boston,55018.07
44,Bachelor,14,Manager,Product,Los Angeles,147037.66
33,Associate,8,Data Analyst,Finance,New York,90267.12
54,Bachelor,26,Software Engineer,Marketing,Los Angeles,171679.24
28,PhD,5,Data Analyst,HR,Los Angeles,123382.66
31,PhD,5,Data Analyst,Finance,San Francisco,139040.67
51,Bachelor,5,Data Scientist,HR,Chicago,91826.71
45,Associate,10,Manager,HR,San Francisco,130316.11
32,Bachelor,8,Business Analyst,HR,Austin,76774.67
56,Bachelor,27,Data Analyst,Customer Support,Austin,128437.92
52,PhD,15,Data Analyst,Marketing,Seattle,147106.05
40,Bachelor,16,System Administrator,Product,Austin,92664.75
25,Bachelor,2,Data Analyst,IT,Boston,64708.98
50,Associate,5,Software Engineer,Marketing,Chicago,80940.26
37,High School,0,Software Engineer,Marketing,Seattle,56448.07
22,High School,0,QA Engineer,Product,San Francisco,46546.81
40,Bachelor,11,Business Analyst,Customer Support,Boston,99277.14
41,PhD,5,Software Engineer,Marketing,Boston,143216.72
35,Associate,13,Software Engineer,Operations,Austin,88327.62
57,Master,6,System Administrator,Marketing,Boston,111373.36
53,Master,7,Data Scientist,IT,Seattle,135115.0
44,PhD,20,Product Manager,HR,Los Angeles,217088.04
32,Associate,0,Consultant,Product,Los Angeles,64110.22
25,PhD,0,Product Manager,IT,Boston,137300.84
58,Associate,6,Business Analyst,Product,San Francisco,97849.0
